	objid	ra	dec	u	g	r	i	z	run	rerun	camcol	field	specobjid	class	redshift	plate	mjd	fiberid	t	p	cost	sint	sinp	cosp	x	y
3539	1.23765e+18	230.5914168	0.528798627	17.85654	15.90843	15774.123000000001	14.57068	7957.988637634742	752	301	5	581	3.52513e+17	GALAXY	0.05258041	313	51673	385	1.0419976997948965	4.0245794499985665	0.5044964235181089	0.8634137818320002	-0.7726384789587999	-0.634846265510188	-8646.349146997169	-10523.023315123211
3540	1.23765e+18	230.6167694	0.615265502	19.81683	17.92566	22911.845999999998	16.61369	13224.152893004213	752	301	5	581	3.52514e+17	GALAXY	0.07637282	313	51673	389	0.9555308247948966	4.025021936342508	0.5771753569312666	0.816620234473323	-0.7729193141135722	-0.6345043213960052	-11871.751644477927	-14461.534506476131
3541	1.23765e+18	230.6060272	0.53061879	22.43262	20.50229	98801.67	18.16775	50000.27864052864	752	301	5	581	4.5173e+18	GALAXY	0.3293389	4012	55327	679	1.0401775367948964	4.0248344495836	0.5060671407733153	0.8624940863736524	-0.7728003393709839	-0.634649222380436	-54082.17680761264	-65854.84251297334
3542	1.23765e+18	230.4687455	0.428207806	23.38974	21.8128	185788.89	19.16915	77147.18135190387	752	301	5	581	4.51729e+18	GALAXY	0.6192963	4012	55327	641	1.1425885207948965	4.022438431915865	0.4152410908526547	0.9097114028457033	-0.7712774917923813	-0.636499042147318	-107577.42208131333	-130356.90359634784
3543	1.23765e+18	230.6498635	0.569218795	19.4395	18.34606	22856.694	17.57289	12319.168063550094	752	301	5	582	3.52517e+17	GALAXY	0.07618898	313	51673	400	1.0015775317948965	4.025599537350493	0.5389741868859116	0.8423222814758436	-0.7732856754970054	-0.6340577766033155	-12207.325827668708	-14887.839163853694
3544	1.23765e+18	230.7054159	0.436839612	20.53802	18.25778	37745.69999999999	17.12213	15969.374372874252	752	301	5	582	3.52513e+17	GALAXY	0.125819	313	51673	386	1.1339567147948966	4.026569109637877	0.423077976375435	0.9060932766035	-0.7739000767780134	-0.6333077223301362	-21659.83656898391	-26468.253256191532
3545	1.23765e+18	230.6614759	0.608517081	19.83299	18.11967	46869.39	16.60762	26792.95049112712	752	301	5	582	3.52516e+17	GALAXY	0.1562313	313	51673	399	0.9622792457948965	4.0258022119645505	0.5716513590453625	0.820496632352376	-0.7734141670291615	-0.6339010382059554	-24377.410307296108	-29742.55183507031
3546	1.23765e+18	230.6547677	0.514842852	23.22712	20.6176	116231.55	18.2947	57232.19184553916	752	301	5	582	4.5173e+18	GALAXY	0.3874385	4012	55327	680	1.0559534747948964	4.025685131787669	0.49239807819425235	0.8703701124180488	-0.7733399444827617	-0.6339915853285428	-64137.420964420286	-78234.52347902837
3547	1.23765e+18	230.6648893	0.583060793	24.52337	22.73531	167557.74	19.94765	92254.20937772753	752	301	5	582	4.5173e+18	GALAXY	0.5585258	4012	55327	677	0.9877355337948965	4.0258617870332385	0.5505816047514578	0.834781346526927	-0.7734519303545353	-0.6338549608789403	-88659.87685572864	-108185.87394815018
3548	1.23765e+18	230.6832063	0.470245371	22.77807	22.1362	193028.94	20.1491	87462.38495171636	752	301	5	582	4.5173e+18	GALAXY	0.6434298	4012	55327	691	1.1005509557948965	4.026181478992326	0.45310503674587016	0.8914571361964206	-0.7736545291607707	-0.6336076621293544	-109029.32218515345	-133128.17057229992
